roll,pitch,yaw, gyro_x, gyro_y, gyro_z, accel_x, accel_y, accel_z, EMG0, EMG1, EMG2, EMG3, EMG4, EMG5, EMG6, EMG7, time
-1.90833,-0.739274,-1.25632,102.625,-127.688,147.063,2.05566,-0.348145,0.114258,0,0,0,0,0,0,0,0,278
-1.90628,-0.688077,-1.22987,54.875,-111.5,142.563,1.81836,0.0185547,0.0561523,0,0,0,0,0,0,0,0,297
-1.91412,-0.63836,-1.20375,22.9375,-110.813,135.063,1.43994,0.15625,0.09375,0,0,0,0,0,0,0,0,314
-1.92556,-0.589034,-1.17488,13.1875,-116.875,120.25,0.777344,0.0371094,0.131836,0,0,0,0,0,0,0,0,330
-1.93356,-0.538187,-1.14141,28.3125,-128.313,110.688,0.199219,-0.0166016,-0.00878906,0,0,0,0,0,0,0,0,347
-1.93279,-0.491734,-1.10518,55.6875,-129.813,91.6875,-0.102051,0.108398,-0.13916,0,0,0,0,0,0,0,0,364
-1.93279,-0.491734,-1.10518,55.6875,-129.813,91.6875,-0.102051,0.108398,-0.13916,0,0,0,0,0,0,0,0,381
-1.92435,-0.45684,-1.0731,66.0625,-115.375,75.5,0.481445,0.467285,0.152344,0,0,0,0,0,0,0,0,398
-1.90589,-0.428186,-1.051,63.3125,-90,56.1875,-0.237305,0.433594,0.447754,0,0,0,0,0,0,0,0,415
-1.89214,-0.421666,-1.03482,48.25,-61.125,34,0.185547,0.706543,0.400391,0,0,0,0,0,0,0,0,432
-1.89214,-0.421666,-1.03482,48.25,-61.125,34,0.185547,0.706543,0.400391,0,0,0,0,0,0,0,0,449
-1.86705,-0.434336,-1.03233,-1.3125,6.9375,-28.9375,0.268066,0.817383,0.816895,-1,-9,-1,-1,3,1,-3,-1,466
-1.87519,-0.457293,-1.03887,-22.5,44.875,-73.375,-0.576172,0.589355,0.0361328,1,-2,0,-1,-2,0,8,-1,483
-1.87519,-0.457293,-1.03887,-22.5,44.875,-73.375,-0.576172,0.589355,0.0361328,-10,-5,-3,3,-5,-5,-12,-3,501
-1.89354,-0.569269,-1.08628,-74.5625,111.063,-127.438,0.890625,0.569824,0.454102,0,-1,0,0,3,1,4,-1,518
-1.89354,-0.569269,-1.08628,-74.5625,111.063,-127.438,0.890625,0.569824,0.454102,17,-3,6,-2,-12,-5,9,4,535
-1.91424,-0.844238,-1.26006,-148.063,240.438,-201.938,3.97461,-1.51953,-0.20166,-21,-6,-4,-11,-6,9,14,-3,601
-1.87182,-0.91905,-1.34623,-69.0625,216.813,-153.188,3.36133,-1.43945,-0.336914,14,3,-2,4,-4,-3,15,3,619
-1.82618,-0.982248,-1.41399,-27.75,158.5,-143.438,2.76123,-1.20166,-0.5625,0,-1,-2,3,2,-3,3,-1,637
-1.80232,-1.04561,-1.46874,-62.75,127.313,-147,2.24756,-0.637695,-0.478516,-3,-1,-1,0,0,1,-6,-4,654
-1.82062,-1.10034,-1.51492,-165.375,99.625,-125.125,1.99023,-0.203125,-0.31543,-1,-1,-2,1,3,-4,-11,-5,671
